Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Notes
"Fri, Nov 15, 2013",10:30p,Memphis Grizzlies,89,Los Angeles Lakers,86,Box Score,,"18,997",
"Fri, Nov 15, 2013",7:30p,Dallas Mavericks,104,Miami Heat,110,Box Score,,"19,772",
"Fri, Nov 15, 2013",9:00p,Brooklyn Nets,100,Phoenix Suns,98,Box Score,OT,"15,984",
"Fri, Nov 15, 2013",10:30p,Detroit Pistons,97,Sacramento Kings,90,Box Score,,"17,317",
"Fri, Nov 15, 2013",7:00p,Chicago Bulls,96,Toronto Raptors,80,Box Score,,"19,800",
"Fri, Nov 15, 2013",9:00p,San Antonio Spurs,91,Utah Jazz,82,Box Score,,"17,530",
"Sat, Nov 16, 2013",7:00p,Miami Heat,97,Charlotte Bobcats,81,Box Score,,"19,084",
"Sat, Nov 16, 2013",8:00p,Indiana Pacers,94,Chicago Bulls,110,Box Score,,"22,158",
"Sat, Nov 16, 2013",10:30p,Utah Jazz,88,Golden State Warriors,102,Box Score,,"19,596",
"Sat, Nov 16, 2013",8:00p,Denver Nuggets,111,Houston Rockets,122,Box Score,,"18,147",
"Sat, Nov 16, 2013",10:30p,Brooklyn Nets,103,Los Angeles Clippers,110,Box Score,,"19,349",
"Sat, Nov 16, 2013",8:30p,Oklahoma City Thunder,92,Milwaukee Bucks,79,Box Score,,"15,984",
"Sat, Nov 16, 2013",8:00p,Boston Celtics,88,Minnesota Timberwolves,106,Box Score,,"15,111",
"Sat, Nov 16, 2013",8:00p,Philadelphia 76ers,98,New Orleans Pelicans,135,Box Score,,"16,659",
"Sat, Nov 16, 2013",7:30p,Atlanta Hawks,110,New York Knicks,90,Box Score,,"19,812",
"Sat, Nov 16, 2013",7:00p,Dallas Mavericks,108,Orlando Magic,100,Box Score,,"15,039",
"Sat, Nov 16, 2013",7:00p,Cleveland Cavaliers,103,Washington Wizards,96,Box Score,OT,"18,038",
"Sun, Nov 17, 2013",9:30p,Detroit Pistons,99,Los Angeles Lakers,114,Box Score,,"18,997",
"Sun, Nov 17, 2013",6:00p,Memphis Grizzlies,97,Sacramento Kings,86,Box Score,,"15,630",
"Sun, Nov 17, 2013",1:00p,Portland Trail Blazers,118,Toronto Raptors,110,Box Score,OT,"17,945",
"Mon, Nov 18, 2013",7:30p,Portland Trail Blazers,108,Brooklyn Nets,98,Box Score,,"17,732",
"Mon, Nov 18, 2013",8:00p,Charlotte Bobcats,81,Chicago Bulls,86,Box Score,,"21,628",
"Mon, Nov 18, 2013",8:30p,Philadelphia 76ers,94,Dallas Mavericks,97,Box Score,,"19,790",
"Mon, Nov 18, 2013",10:30p,Memphis Grizzlies,106,Los Angeles Clippers,102,Box Score,,"19,060",
"Mon, Nov 18, 2013",8:00p,Denver Nuggets,113,Oklahoma City Thunder,115,Box Score,,"18,203",
"Mon, Nov 18, 2013",9:00p,Golden State Warriors,98,Utah Jazz,87,Box Score,,"16,051",
"Tue, Nov 19, 2013",7:30p,New York Knicks,86,Detroit Pistons,92,Box Score,,"13,213",
"Tue, Nov 19, 2013",8:00p,Boston Celtics,85,Houston Rockets,109,Box Score,,"18,232",
"Tue, Nov 19, 2013",7:30p,Atlanta Hawks,88,Miami Heat,104,Box Score,,"19,600",
"Tue, Nov 19, 2013",10:00p,Phoenix Suns,104,Sacramento Kings,107,Box Score,,"14,626",
"Tue, Nov 19, 2013",7:00p,Minnesota Timberwolves,100,Washington Wizards,104,Box Score,,"14,804",
"Wed, Nov 20, 2013",7:30p,Detroit Pistons,85,Atlanta Hawks,93,Box Score,,"13,167",
"Wed, Nov 20, 2013",7:00p,Brooklyn Nets,91,Charlotte Bobcats,95,Box Score,,"13,843",
"Wed, Nov 20, 2013",7:00p,Washington Wizards,98,Cleveland Cavaliers,91,Box Score,,"16,189",
"Wed, Nov 20, 2013",9:30p,Houston Rockets,120,Dallas Mavericks,123,Box Score,,"20,045",
"Wed, Nov 20, 2013",10:30p,Memphis Grizzlies,88,Golden State Warriors,81,Box Score,OT,"19,596",
"Wed, Nov 20, 2013",8:00p,Portland Trail Blazers,91,Milwaukee Bucks,82,Box Score,,"11,789",
"Wed, Nov 20, 2013",8:00p,Los Angeles Clippers,102,Minnesota Timberwolves,98,Box Score,,"13,101",
"Wed, Nov 20, 2013",8:00p,Utah Jazz,98,New Orleans Pelicans,105,Box Score,,"13,203",
"Wed, Nov 20, 2013",7:00p,Indiana Pacers,103,New York Knicks,96,Box Score,OT,"19,812",
"Wed, Nov 20, 2013",7:00p,Miami Heat,120,Orlando Magic,92,Box Score,,"17,256",
"Wed, Nov 20, 2013",7:00p,Toronto Raptors,108,Philadelphia 76ers,98,Box Score,,"10,787",
"Wed, Nov 20, 2013",9:00p,Sacramento Kings,113,Phoenix Suns,106,Box Score,,"12,705",
"Wed, Nov 20, 2013",8:30p,Boston Celtics,93,San Antonio Spurs,104,Box Score,,"18,581",
"Thu, Nov 21, 2013",10:30p,Chicago Bulls,87,Denver Nuggets,97,Box Score,,"18,423",
"Thu, Nov 21, 2013",8:00p,Los Angeles Clippers,91,Oklahoma City Thunder,105,Box Score,,"18,203",
"Fri, Nov 22, 2013",7:30p,Indiana Pacers,97,Boston Celtics,82,Box Score,,"18,624",
"Fri, Nov 22, 2013",7:00p,Phoenix Suns,98,Charlotte Bobcats,91,Box Score,,"14,916",
"Fri, Nov 22, 2013",8:30p,Utah Jazz,93,Dallas Mavericks,103,Box Score,,"19,781",
"Fri, Nov 22, 2013",7:30p,Atlanta Hawks,96,Detroit Pistons,89,Box Score,,"13,467",
"Fri, Nov 22, 2013",10:30p,Golden State Warriors,95,Los Angeles Lakers,102,Box Score,,"18,997",
"Fri, Nov 22, 2013",8:00p,San Antonio Spurs,102,Memphis Grizzlies,86,Box Score,,"17,109",
"Fri, Nov 22, 2013",8:00p,Brooklyn Nets,81,Minnesota Timberwolves,111,Box Score,,"15,551",
"Fri, Nov 22, 2013",8:00p,Cleveland Cavaliers,100,New Orleans Pelicans,104,Box Score,,"15,186",
"Fri, Nov 22, 2013",7:00p,Milwaukee Bucks,107,Philadelphia 76ers,115,Box Score,OT,"13,588",
"Fri, Nov 22, 2013",10:00p,Chicago Bulls,95,Portland Trail Blazers,98,Box Score,,"20,618",
"Fri, Nov 22, 2013",7:00p,Washington Wizards,88,Toronto Raptors,96,Box Score,,"18,671",
"Sat, Nov 23, 2013",7:30p,Boston Celtics,94,Atlanta Hawks,87,Box Score,,"15,189",
"Sat, Nov 23, 2013",9:00p,Dallas Mavericks,100,Denver Nuggets,102,Box Score,,"17,841",
"Sat, Nov 23, 2013",10:30p,Portland Trail Blazers,113,Golden State Warriors,101,Box Score,,"19,596",
"Sat, Nov 23, 2013",8:00p,Minnesota Timberwolves,101,Houston Rockets,112,Box Score,,"18,196",
"Sat, Nov 23, 2013",7:00p,Philadelphia 76ers,98,Indiana Pacers,106,Box Score,,"18,165",
"Sat, Nov 23, 2013",3:30p,Sacramento Kings,102,Los Angeles Clippers,103,Box Score,,"19,060",
"Sat, Nov 23, 2013",7:30p,Orlando Magic,99,Miami Heat,101,Box Score,,"19,647",
"Sat, Nov 23, 2013",8:30p,Charlotte Bobcats,96,Milwaukee Bucks,72,Box Score,,"14,871",
"Sat, Nov 23, 2013",8:30p,Cleveland Cavaliers,96,San Antonio Spurs,126,Box Score,,"18,581",
"Sat, Nov 23, 2013",7:00p,New York Knicks,89,Washington Wizards,98,Box Score,,"18,089",
"Sun, Nov 24, 2013",2:00p,Detroit Pistons,109,Brooklyn Nets,97,Box Score,,"17,732",
"Sun, Nov 24, 2013",3:30p,Chicago Bulls,82,Los Angeles Clippers,121,Box Score,,"19,245",
"Sun, Nov 24, 2013",9:30p,Sacramento Kings,86,Los Angeles Lakers,100,Box Score,,"18,997",
"Sun, Nov 24, 2013",7:00p,Utah Jazz,73,Oklahoma City Thunder,95,Box Score,,"18,203",
"Sun, Nov 24, 2013",6:00p,Phoenix Suns,104,Orlando Magic,96,Box Score,,"15,785",
"Mon, Nov 25, 2013",7:00p,Boston Celtics,96,Charlotte Bobcats,86,Box Score,,"13,558",
"Mon, Nov 25, 2013",8:30p,Denver Nuggets,110,Dallas Mavericks,96,Box Score,,"19,677",
"Mon, Nov 25, 2013",7:30p,Milwaukee Bucks,94,Detroit Pistons,113,Box Score,,"12,150",
"Mon, Nov 25, 2013",7:00p,Minnesota Timberwolves,84,Indiana Pacers,98,Box Score,,"16,426",
"Mon, Nov 25, 2013",8:00p,Houston Rockets,93,Memphis Grizzlies,86,Box Score,,"15,246",
"Mon, Nov 25, 2013",7:30p,Phoenix Suns,92,Miami Heat,107,Box Score,,"19,758",
